"";"...1";"area_estabelecimentos";"area_lavouras";"area_producao";"despesas_terra";"qtde_estabelecimentos";"pessoal_ocupado";"salarios";"pessoal_homens";"pessoal_mulheres";"qtde_tratores";"qtde_maquinas";"uso_adubos";"uso_corretivos";"uso_assistencia_tecnica";"uso_agrotoxicos";"uso_conservacao";"uso_irrigacao";"uso_energia";"despesa_insumos";"intensidade_agrotoxico";"despesas_estabelecimentos";"despesas_outras";"despesas_lavouras";"receitas_lavouras";"receitas_estabelecimentos";"CR_sicor";"producao";"pib_agro_municipios"
"1";1100015;288706,8;8146,8;17894;28521;2884;8550;13460;6145;2405;517;665;1052;178;511;511;1163;559;2598;53914;2,30313683;155230;9380;15353;39555;2596;60873761,25;191374;169623,26
"2";1100023;243741,3;10575,8;21181;19195;2927;7082;15402;4738;2344;501;635;351;320;329;329;420;85;2772;46887;5,34235977;188213;4325;11918;20499;2480;88515333,67;153569;165216,94
"3";1100031;93780,2;35088,6;37050;58117;1075;3085;7515;2220;865;247;417;200;176;307;307;258;33;880;53396;20,31724138;151613;8733;117023;95530;991;28374693,57;146924;63021,99
"4";1100049;185338,2;8681,3;20265;15831;3805;9410;8194;6322;3088;465;539;1204;363;378;378;1172;900;3579;36969;0,658906;101349;6771;15588;33499;3595;63506972,37;165834;255059,85
"5";1100056;98701,3;40378,3;43402;93796;718;2182;4135;1579;603;303;605;199;185;167;167;340;46;662;88470;184,35714286;142529;1152;111502;132284;706;54799084,08;202533;61939,89
"6";1100064;111085,8;2512,1;3566;14972;1673;4891;5402;3457;1434;248;367;203;146;548;548;580;58;1473;23835;24,44366197;81310;3953;7888;7063;1545;56741752,15;129799;78345,65
"7";1100072;228521,4;50163,7;62170;97935;1489;5921;22521;4219;1702;306;554;173;100;299;299;636;16;1290;113242;130,55392157;289281;5690;99183;173133;1434;106279248,25;571195;227123,26
"8";1100080;158332,2;2282,2;5636;10799;1495;4425;6418;2842;1583;269;297;120;90;550;550;513;38;1216;21361;7,52834008;76339;7181;2154;5745;1398;31853326,53;91310;62851,88
"9";1100098;171616,9;5031,2;7691;12342;1999;6715;17359;4189;2526;334;405;206;120;241;241;301;99;1914;29166;9,6187175;87018;3503;7710;10774;1850;44971872,58;140380;124625,44
"10";1100106;49583,5;1840,3;5468;1516;545;2780;1633;1767;1013;91;97;68;58;262;262;547;40;409;5817;2,568;15910;1068;718;4723;576;6076417,09;28970;47073,51
"11";1100114;226607,5;4718;7526;10182;3547;8390;10284;5852;2538;262;321;200;225;575;575;1120;64;3333;32083;1,7129001;105090;8066;2527;5609;3392;73263530,75;177910;172324,51
"12";1100122;181594,1;2299,8;5301;9996;2544;7803;13389;5324;2479;312;431;343;340;740;740;1052;159;2471;27024;7,79310345;90967;3212;2452;4487;2413;77580328,41;135145;142860,71
"13";1100130;227207,2;10600,9;25600;20015;4228;11820;10850;7309;4511;257;341;498;448;408;408;1887;137;3967;34667;2,0053041;105912;9841;13894;27794;3791;62157069,89;112310;183427,12
"14";1100148;120021,8;8142,3;20462;11554;3007;7851;6644;5802;2049;229;282;1501;667;319;319;1173;1111;2875;18667;0,78026285;52463;2787;15883;42339;2732;28906957,66;99557;115926,12
"15";1100155;132077,4;1757,1;2346;10546;2152;6038;9192;4269;1769;183;235;225;181;598;598;2392;74;2071;24493;2,9882199;87236;6081;1450;5091;2112;52794570,09;137037;135777,05
"16";1100189;168136,1;404,9;2865;7691;1197;2898;6279;1914;984;332;376;88;91;150;150;143;22;1176;19939;31,77319588;49322;1408;883;1488;825;68545929,24;97683;107191,82
"17";1100205;432380,8;14454,3;176867;26319;5121;16985;27851;11279;5706;772;1153;852;647;1231;1231;2096;470;4148;64361;3,48520971;194223;11719;14760;41913;4780;142785650,74;362789;589994,74
"18";1100254;104278,2;1802,1;3738;9046;2105;6621;5599;4047;2574;190;233;320;102;603;603;649;165;2003;20531;5,1959799;82346;7858;3121;7346;2046;48208938,37;126928;103300,38
"19";1100262;81089;6899,9;7803;12941;492;1685;5301;1287;398;163;241;88;81;71;71;66;12;452;19966;12,41194969;65169;7652;16863;25693;464;23875423,97;104753;59951,2
"20";1100288;101437,6;4650,7;8852;19070;2038;5634;8007;4251;1383;314;427;498;298;449;449;638;325;1912;34631;3,81777778;83174;3791;12674;20627;1930;45016014,02;113004;105487,34
"21";1100296;68500,4;7510,8;13588;8132;1023;3214;4577;2192;1022;230;304;269;80;271;271;420;181;935;14211;3,45414847;1341268;1026;6915;18523;986;23969536,87;81999;56677,57
"22";1100304;139187,6;36520,8;59929;94354;1579;4970;22882;3404;1566;561;869;489;484;423;423;442;216;1521;99730;237,77083333;186333;5408;106154;159727;1330;93623857,14;263125;162728,26
"23";1100320;147148,6;22650,1;38472;35098;2487;6938;6831;4740;2198;333;499;959;562;280;280;1224;735;2384;44517;2,97792572;99655;7688;41770;70978;2346;47943753,02;166658;223963,77
"24";1100338;191451,7;2398,7;4069;8168;2115;6366;6972;4248;2118;219;262;91;106;225;225;1372;62;1962;29240;6,79710145;109938;2175;1329;3206;1977;95463240,08;118887;183650,56
"25";1100346;119831;2726,6;7013;13073;1824;6026;5301;4416;1610;224;307;416;244;402;402;451;239;1733;21672;3,71829522;64980;2708;5656;14479;1741;43828203,39;82346;82744,32
"26";1100379;108909,3;8918,4;24048;15010;1974;7445;5365;6011;1434;242;270;1214;162;363;363;976;635;1808;20949;1,62413793;59819;5885;19066;46009;1877;30262980,48;98983;174973,97
"27";1100403;146422;13861,4;25046;16968;2617;6989;8221;4627;2362;257;351;315;236;215;215;366;83;2452;26740;1,97909556;75532;2359;22108;32834;2258;66714560,08;90113;87557,38
"28";1100452;189709,1;3231,7;5748;12743;2830;9261;7412;6075;3186;243;255;208;174;237;237;862;106;2720;26502;2,75441289;99628;2615;3239;8374;2685;76514993,36;131275;189479,54
"29";1100502;56592,3;4432,3;7240;8649;1347;4172;3383;2920;1252;129;163;409;199;378;378;620;319;1286;11864;2,02543235;33403;2073;7545;16646;1237;20401261,77;51228;63004,29
"30";1100601;121266,6;1538,4;2614;12160;894;2707;8320;1843;864;148;171;59;57;309;309;347;10;815;25652;8,04414587;116975;5506;688;2919;882;49551687,53;124898;74768,7
"31";1100700;156426;2364;5688;6914;1918;5857;7100;3851;2006;120;138;85;77;117;117;946;34;1869;21054;2,7727784;63443;1841;1406;3332;1827;55388594;105822;124132,17
