"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"despesa_terras";"CR_RECOR";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"1";"2006";"1100015";"Alta Floresta D'Oeste - RO";12181;8870;5106;2896;69108558,3499994;6836;685;265;19615;335;1690;326;48;191374;39469;6
"2";"2006";"1100023";"Ariquemes - RO";15967;8511;5954;2044;20114856,07;7626;1088;263;14991;219;780;944;197;153569;42170;6
"3";"2006";"1100031";"Cabixi - RO";10511;5333;4750;3449;3890522,6;2485;454;147;7130;116;142;182;39;146924;14894;4
"4";"2006";"1100049";"Cacoal - RO";16932;11943;4423;3204;36972481,6699999;11270;925;355;13059;538;2400;687;63;165834;47194;6
"5";"2006";"1100056";"Cerejeiras - RO";14514;7970;10054;7331;50137395,0699999;2782;551;188;13001;210;226;404;51;202533;17440;9
"6";"2006";"1100064";"Colorado do Oeste - RO";3954;5354;2180;1751;21449420,79;4502;424;137;4219;73;421;646;26;129799;20635;9
"7";"2006";"1100072";"Corumbiara - RO";16768;13120;15180;8633;10892312,13;4370;322;144;20798;60;285;695;15;571195;28909;9
"8";"2006";"1100080";"Costa Marques - RO";1953;1851;458;249;2124321,74;2773;59;38;588;10;58;550;1;91310;7219;4
"9";"2006";"1100098";"Espigão D'Oeste - RO";4821;9393;1211;2217;14599723;6593;587;205;1923;230;892;545;48;140380;31655;6
"10";"2006";"1100106";"Guajará-Mirim - RO";2160;740;100;54;14384468,57;608;111;24;130;5;31;96;3;28970;9569;4
"11";"2006";"1100114";"Jaru - RO";9947;8358;1494;860;60499836,8899997;9786;524;141;4414;95;823;760;22;177910;56206;6
"12";"2006";"1100122";"Ji-Paraná - RO";3736;9779;1183;2087;9297011,30999998;6526;486;143;3707;213;939;922;95;135145;43362;6
"13";"2006";"1100130";"Machadinho D'Oeste - RO";24897;5371;4048;1097;18897282,49;12577;524;110;6965;135;838;1155;89;112310;26579;6
"14";"2006";"1100148";"Nova Brasilândia D'Oeste - RO";12061;2705;3818;1003;33892810,38;6537;247;75;19616;187;1561;214;27;99557;23764;6
"15";"2006";"1100155";"Ouro Preto do Oeste - RO";5862;6544;1945;1348;16768924,94;6117;516;125;4896;154;561;672;28;137037;45045;6
"16";"2006";"1100189";"Pimenta Bueno - RO";1318;7278;1550;3417;15880080,74;2364;458;197;1640;102;204;296;87;97683;22769;9
"17";"2006";"1100205";"Porto Velho - RO";27383;6084;3843;1295;74061807,3200002;6962;747;251;5491;267;597;477;195;362789;84364;6
"18";"2006";"1100254";"Presidente Médici - RO";6914;7765;1532;1522;5578197,26;6428;564;109;3727;193;1229;739;34;126928;28957;6
"19";"2006";"1100262";"Rio Crespo - RO";2141;2112;610;620;2422196,37;1242;163;73;1682;29;140;146;24;104753;11717;4
"20";"2006";"1100288";"Rolim de Moura - RO";6362;6546;2574;1181;23134665,0299998;6830;787;159;5017;174;916;564;59;113004;27444;6
"21";"2006";"1100296";"Santa Luzia D'Oeste - RO";6134;4638;2059;1897;11900076,73;3192;449;126;3249;226;669;434;33;81999;18846;9
"22";"2006";"1100304";"Vilhena - RO";28123;17642;19348;16378;50726493,1200001;2239;618;255;25556;243;201;380;221;263125;31614;9
"23";"2006";"1100320";"São Miguel do Guaporé - RO";15849;6637;4173;1613;20590673,63;11399;304;145;22603;127;1826;290;40;166658;33734;6
"24";"2006";"1100338";"Nova Mamoré - RO";2694;3215;501;197;9251452,32999996;3739;91;39;589;11;212;501;5;118887;26020;4
"25";"2006";"1100346";"Alvorada D'Oeste - RO";6067;5169;1281;1133;17535246,94;6483;283;114;7855;138;841;468;57;82346;28180;6
"26";"2006";"1100379";"Alto Alegre dos Parecis - RO";9613;4481;3356;1924;68545278,9599997;4249;265;152;10284;163;1204;329;15;98983;22868;6
"27";"2006";"1100403";"Alto Paraíso - RO";20322;3795;2851;853;1312356,92;5636;245;91;9091;146;601;701;60;90113;21181;6
"28";"2006";"1100452";"Buritis - RO";12467;6545;2555;1020;11245770,48;8355;195;102;5226;73;1337;700;24;131275;34632;6
"29";"2006";"1100502";"Novo Horizonte do Oeste - RO";6635;2666;2215;731;15915256,92;4882;142;63;5701;98;1029;852;18;51228;16644;6
"30";"2006";"1100601";"Cacaulândia - RO";3014;4103;492;619;6430320,12;1899;136;60;1552;29;213;338;20;124898;19917;4
