"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"CR_sicor";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"1";"2017";"1100015";"Alta Floresta D'Oeste - RO";8146,8;53914;15354;60873761,25;8550;665;517;39555;1052;2178;511;178;191374;169623;3
"2";"2017";"1100023";"Ariquemes - RO";10575,8;46887;11917;88515333,67;7082;635;501;20499;351;1077;329;320;153569;165217;3
"3";"2017";"1100031";"Cabixi - RO";35088,6;53396;117024;28374693,57;3085;417;247;95531;200;488;307;176;146924;63022;2
"4";"2017";"1100049";"Cacoal - RO";8681,3;36969;15588;63506972,37;9410;539;465;33498;1204;2795;378;363;165834;255060;3
"5";"2017";"1100056";"Cerejeiras - RO";40378,3;88470;111502;54799084,08;2182;605;303;132285;199;333;167;185;202533;61940;2
"6";"2017";"1100064";"Colorado do Oeste - RO";2512,1;23835;7888;56741752,15;4891;367;248;7063;203;864;548;146;129799;78346;3
"7";"2017";"1100072";"Corumbiara - RO";50163,7;113242;99183;106279248,25;5921;554;306;173134;173;776;299;100;571195;227123;5
"8";"2017";"1100080";"Costa Marques - RO";2282,2;21361;2154;31853326,53;4425;297;269;5745;120;716;550;90;91310;62852;2
"9";"2017";"1100098";"Espigão D'Oeste - RO";5031,2;29166;7710;44971872,58;6715;405;334;10773;206;1321;241;120;140380;124625;3
"10";"2017";"1100106";"Guajará-Mirim - RO";1840,3;5817;718;6076417,09;2780;97;91;4722;68;79;262;58;28970;47074;2
"11";"2017";"1100114";"Jaru - RO";4718;32083;2527;73263530,75;8390;321;262;5609;200;1522;575;225;177910;172325;3
"12";"2017";"1100122";"Ji-Paraná - RO";2299,8;27024;2452;77580328,41;7803;431;312;4486;343;1090;740;340;135145;142861;3
"13";"2017";"1100130";"Machadinho D'Oeste - RO";10600,9;34667;13894;62157069,89;11820;341;257;27794;498;1566;408;448;112310;183427;3
"14";"2017";"1100148";"Nova Brasilândia D'Oeste - RO";8142,3;18667;15883;28906957,66;7851;282;229;42339;1501;2464;319;667;99557;115926;3
"15";"2017";"1100155";"Ouro Preto do Oeste - RO";1757,1;24493;1450;52794570,09;6038;235;183;5091;225;1260;598;181;137037;135777;3
"16";"2017";"1100189";"Pimenta Bueno - RO";404,9;19939;882;68545929,24;2898;376;332;1488;88;720;150;91;97683;107192;2
"17";"2017";"1100205";"Porto Velho - RO";14454,3;64361;14760;142785650,74;16985;1153;772;41913;852;1866;1231;647;362789;589995;4
"18";"2017";"1100254";"Presidente Médici - RO";1802,1;20531;3120;48208938,37;6621;233;190;7346;320;1505;603;102;126928;103300;3
"19";"2017";"1100262";"Rio Crespo - RO";6899,9;19966;16863;23875423,97;1685;241;163;25693;88;190;71;81;104753;59951;2
"20";"2017";"1100288";"Rolim de Moura - RO";4650,7;34631;12673;45016014,02;5634;427;314;20627;498;1185;449;298;113004;105487;3
"21";"2017";"1100296";"Santa Luzia D'Oeste - RO";7510,8;14211;6915;23969536,87;3214;304;230;18523;269;609;271;80;81999;56678;2
"22";"2017";"1100304";"Vilhena - RO";36520,8;99730;106154;93623857,14;4970;869;561;159727;489;672;423;484;263125;162728;5
"23";"2017";"1100320";"São Miguel do Guaporé - RO";22650,1;44517;41770;47943753,02;6938;499;333;70978;959;1659;280;562;166658;223964;3
"24";"2017";"1100338";"Nova Mamoré - RO";2398,7;29240;1329;95463240,08;6366;262;219;3206;91;605;225;106;118887;183651;2
"25";"2017";"1100346";"Alvorada D'Oeste - RO";2726,6;21672;5656;43828203,39;6026;307;224;14479;416;1165;402;244;82346;82744;3
"26";"2017";"1100379";"Alto Alegre dos Parecis - RO";8918,4;20949;19066;30262980,48;7445;270;242;46009;1214;1633;363;162;98983;174974;3
"27";"2017";"1100403";"Alto Paraíso - RO";13861,4;26740;22107;66714560,08;6989;351;257;32834;315;1303;215;236;90113;87557;3
"28";"2017";"1100452";"Buritis - RO";3231,7;26502;3240;76514993,36;9261;255;243;8374;208;1526;237;174;131275;189480;3
"29";"2017";"1100502";"Novo Horizonte do Oeste - RO";4432,3;11864;7545;20401261,77;4172;163;129;16646;409;902;378;199;51228;63004;2
"30";"2017";"1100601";"Cacaulândia - RO";1538,4;25652;688;49551687,53;2707;171;148;2919;59;619;309;57;124898;74769;2
"31";"2017";"1100700";"Campo Novo de Rondônia - RO";2364;21054;1406;55388594;5857;138;120;3333;85;972;117;77;105822;124132;2
"32";"2017";"1100809";"Candeias do Jamari - RO";15292;32262;19998;54561509,76;3793;405;315;22963;182;362;262;220;71868;85428;2
"33";"2017";"1100908";"Castanheiras - RO";1999;10047;5657;11386236,56;1345;141;108;8698;124;262;183;96;32484;75537;2
