"";"UF";"codigo_UF";"area_lavouras";"area_pastagens";"area_producao";"despesa_insumos";"despesas_agrotoxicos";"despesas_estabelecimentos";"despesas_lavouras";"despesas_maquinas";"despesas_outras";"despesas_terra";"pessoal_ocupado";"qtde_estabelecimentos";"qtde_maquinas";"qtde_tratores";"receitas_estabelecimentos";"receitas_lavouras";"salarios";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_conservacao";"uso_corretivos";"uso_energia";"uso_irrigacao";"pct_arroz";"pct_cana";"pct_milho";"pct_soja";"pct_cafe";"pct_outras_culturas";"CR_sicor";"producao";"pib_municipios";"cluster"
"1";"Rondônia";11;6691423;6089262;544793;1425946;287801;5649400;895265;566775;203931;993435;270812;91132;16610;12283;7458936;1415863;4804;15876;47178;17100;34165;9545;83974;8482;1,35914459214012;0,8191889070072;6,17687926732161;17,5958537380082;15,0268341276995;59,0220993678234;2445637522,76;6544961;1238006;4
"2";"Acre";12;1601545;1474337;901529;158763;20559;684500;95517;112047;49876;85433;126514;37085;2767;2133;1362889;287505;382;2946;7582;4270;23044;961;26023;1130;0,876013493122665;0,587138612998196;10,3740116555901;0,0464412894918619;1,81355750336993;86,3028374454273;226294252,94;1216732;359337;4
"3";"Amazonas";13;1460901;1141768;978452;204407;14897;779654;291070;186079;81117;87045;330719;77840;2808;2430;2088601;916562;814;14414;9275;9692;51192;6824;42537;5745;0,0595772849780131;3,60500983219899;0,524235605632863;0;0,0787688473658885;95,7324084298242;120549953,9;1932083;1258785;3
"4";"Roraima";14;1342547;1114772;348978;148547;21560;448900;166491;80753;27642;95646;67070;16628;2386;1747;808576;282058;685;3777;2424;2227;11703;1781;11328;1997;7,809001035712;0,198078063263132;4,95031702891821;8,31823848717693;0;78,7243653849297;122397738,77;758860;92281;4
"5";"Pará";15;16930068;14523938;3461802;1698663;323659;7529581;2911719;2069521;428121;1365488;979648;277573;27938;21222;14338375;4956602;18628;52514;43897;16869;185232;13761;192287;14370;1,06480461282037;0,575813601143444;3,43829829890376;12,1299704385519;0,00931264122206604;82,7818004073584;1948115182,47;13541909;5094226;1
"6";"Amapá";16;594222;449634;194594;36518;4971;247186;46164;75753;8560;36348;31098;8316;494;376;408129;154172;84;2126;1036;1293;6178;1123;5582;1417;0,437828371278459;0,0556886963468215;0,374074415460718;18,6234522383015;0;80,5089562786125;35543733,97;352748;145844;4
"7";"Tocantins";17;10360121;8454545;2529330;1492682;490362;4295507;1986442;690198;151548;1487851;204430;63039;27954;18245;9118068;3508473;1099;12878;15148;8900;32699;6983;55116;2280;6,77568631776445;2,36251520713121;5,35047333954943;32,5479420976856;0;52,9633830378693;3067690781,24;6712463;723465;4
"8";"Maranhão";21;8292245;5706338;3043223;1493337;486054;4625210;2236052;714608;262025;1571338;692870;202276;15386;10309;8278583;3929728;26312;17911;55732;9283;137945;3868;133546;7075;2,81783556382054;2,75300747446729;8,69409414398953;30,4926803480154;0;55,2423824697073;2595330992,44;7238750;2706961;4
"9";"Piauí";22;6175995;2131808;3893581;1193261;396272;2877672;1914794;415187;171275;1122223;670321;237272;7664;5049;6475719;3838874;578;25746;47481;8474;172636;3912;198929;14892;1,38047320845612;1,48882810428107;11,5114001459323;31,2570475451164;0;54,3622509962141;1643976366,02;4809493;852881;4
"10";"Ceará";23;4574289;2368980;1311360;1256307;34711;3293959;897743;409843;299200;233069;928646;370717;7410;6043;8640419;2827964;2962;66352;128912;42608;300153;5666;336487;29518;0,64536764339085;3,23013124170834;7,60463749177151;0;0,144795276563543;88,3750683465658;866985433,08;5548702;3204301;1
"11";"Rio Grande do Norte";24;2056796;946230;389897;591348;61108;1804282;909581;207332;138216;320247;213883;62893;5709;4500;3063793;1115760;999;22809;22026;10205;49865;1376;57206;9525;0,243650365585847;21,7668898014288;0,200854375614227;0;0;77,7886054573711;658231395,94;2498915;1000952;3
"12";"Paraíba";25;1617310;1085344;612929;565836;36651;1721630;582177;243905;111748;210610;424116;161656;4102;3562;4143007;1487946;297;59273;52232;28286;121776;1790;146382;19228;0,0716393216242482;21,2324037942259;1,22098040194522;0;0;77,4749764822046;450112739,86;2250672;1202153;3
"13";"Pernambuco";26;3264789;1768999;1187466;1547438;172996;4064062;1896209;412573;267613;626064;779727;279437;9037;7374;7603936;3294028;6250;108928;62771;18995;180863;8473;246933;39429;0,237233853270862;24,3682239235007;0,661886960775006;0;0,0784765978500569;74,6541786646034;913639986,940001;5645642;3091105;3
"14";"Alagoas";27;1370736;817206;713321;545837;149897;2446736;1852275;264701;369647;557306;326913;97786;5095;3556;2983317;1670328;291;46407;30474;6085;67261;2831;79112;6221;0,352037967946765;36,651952981003;0,543377122747461;0,0388782671671848;0;62,4137536611356;425628845,23;2567419;2356544;3
"15";"Sergipe";28;1258665;877693;289840;498554;29373;1442855;418988;164042;84274;236531;234161;92742;7386;4858;3087177;976687;1305;57544;26805;8312;61485;2343;69415;8450;1,6321969735522;7,36518840438417;24,1410878134828;0;0;66,8615268085808;476500946,3;1950361;1044478;4
