Municipio;Qtde;Principal
1100015;33500;Mandioca
1100023;50950;Batata
1100056;1504000;Cana-de-acucar
1100064;11320;Mandioca
1100072;625000;Cana-de-acucar
1100114;1600;Feijao
1100122;1112;Feijao
1100130;2550000;Cana-de-acucar
1100189;79200;Milho
1100205;3285000;Cana-de-acucar
1100254;55000;Batata
1100262;114920;Batata
1100288;54703;Laranja
1100304;62700;Soja
1100320;1980000;Cana-de-acucar
1100403;1617786;Cana-de-acucar
1100502;55500;Milho
1100601;1050;Feijao
1100700;5495;Café
1100908;8910;Café
1100924;1387500;Cana-de-acucar
1101203;12000;Mandioca
1101401;18670;Café
1101468;2632986;Cana-de-acucar
1101500;1095000;Cana-de-acucar
1101559;26520;Mandioca
1101609;52250;Milho
1101708;14713;Fumo
1200138;1440000;Cana-de-acucar
1200179;63180;Soja
1200302;6000;Mandioca
1200328;22980;Uva
1200344;17150;Batata
1200351;715000;Cana-de-acucar
1200427;662056;Cana-de-acucar
1200450;3808973;Cana-de-acucar
1200609;4920;Mandioca
1200708;5400;Café
1200807;142225;Milho
1300086;117800;Soja
1300508;71300;Mandioca
1300805;55902;Milho
1300839;13400;Mandioca
1300904;9450;Mandioca
1301001;6930;Fumo
1301902;290719;Soja
1302108;68300;Milho
1302405;68640;Soja
1302504;146250;Soja
1302553;10300;Mandioca
1302603;42500;Mandioca
1302801;154500;Milho
1302900;3750;Fumo
1303007;58000;Mandioca
1303106;12230;Mandioca
1303304;176640;Milho
1303601;5400;Mandioca
1303809;73440;Laranja
1303908;1176000;Soja
1304005;4200;Feijao
1304104;155088;Mandioca
1304237;1083060;Soja
1304260;76800;Milho
1304401;39600;Mandioca
1400159;39000;Arroz
1400175;14650;Batata
1400282;82800;Soja
1400407;360137;Soja
1400456;66000;Soja
1400472;87360;Milho
1400605;10710;Café
1500107;506509;Soja
1500206;1500000;Cana-de-acucar
1500404;58200;Batata
1500503;6100;Mandioca
1500701;80200;Soja
1500958;342000;Soja
1501006;260000;Laranja
1501105;30500;Milho
1501303;3960;Fumo
1501451;60046;Mandioca
1501501;3120;Feijao
1501956;60000;Laranja
1502707;32000;Milho
1502756;1784228;Cana-de-acucar
1502939;88552;Soja
1503077;82250;Soja
1503101;8093;Feijao
1503309;7800;Mandioca
1503408;16300;Batata
1503457;3366;Feijao
1503754;3438400;Cana-de-acucar
1503903;4800;Feijao
1504059;43797;Milho
1504208;8138;Café
1504505;63000;Laranja
1504901;34500;Milho
1505007;26072;Café
1505031;2508085;Cana-de-acucar
1505064;24000;Mandioca
1505403;10733;Feijao
1505437;17500;Trigo
1505502;1072000;Cana-de-acucar
1505536;105035;Soja
1505700;13125;Mandioca
1505809;20528;Café
1506005;10920;Café
1506112;25000;Mandioca
1506161;96364;Soja
1506187;30655;Milho
1506195;333900;Soja
1506203;1905;Feijao
1506500;437550;Milho
1506559;92800;Milho
1506583;55726;Batata
1506609;7500;Mandioca
1506708;72000;Soja
1507300;87900;Milho
1507409;30959;Laranja
1507706;153600;Soja
1507805;30402;Milho
1507953;18571;Batata
