Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
balsas-MA;2022;3120;520,9;4,79;787,5;1942,35;1525,53;205,1
balsas-MA;2021;3120;358,02;2,39;540;730,24;1021,57;56,33
balsas-MA;2020;3120;311,56;2,39;393,75;521,2;744,9;61,68
balsas-MA;2019;3120;217,41;2,39;244,8;797,31;469,74;79,75
balsas-MA;2018;3120;222,51;2,39;225;617,75;415,37;68,38
balsas-MA;2017;3120;198,76;2,59;204,75;632,99;425,62;69,08
balsas-MA;2016;3120;175,42;2,39;189;726,75;388,9;69,64
balsas-MA;2015;3120;181,74;2,39;337,5;709,46;351,07;74,12
balsas-MA;2014;3120;145,25;1,4;135;591,69;325,99;52,32
balsas-MA;2013;3120;129,85;1,4;108;553,5;307;44,17220878
balsas-MA;2012;2750;134,06;8,9;85;493,6;138,25;34,86
balsas-MA;2011;2750;130,24;8,9;85;493,6;115,56;35,53
balsas-MA;2010;2750;127,84;7,57;80;441,82;143,64;30,51
balsas-MA;2009;2700;140,29;8,9;95;628,94;216,95;51,7602376
balsas-MA;2008;2700;146,21;8,9;105;908,92;224,57;64,58646671
balsas-MA;2007;2700;129,94;7,48;67,5;394,5;237,81;36,1225245
balsas-MA;2006;2700;133,56;6,02;63;279,72;297,1;38,9255213
barreiras-BA;2022;3660;328,6;6,29;481,84;2350;1923,3;191,31
barreiras-BA;2021;3660;217,48;5,99;257,95;904,85;1052,14;48,72
barreiras-BA;2020;3660;206,81;4,99;223,82;781,24;879,75;61,1
barreiras-BA;2019;3000;148,65;10,92;175;648,98;576,01;62,84
barreiras-BA;2018;3000;145,45;10,92;175;567,88;551,71;66,25
barreiras-BA;2017;3000;123,19;10,92;162,05;520,52;545,4;66,01
barreiras-BA;2016;3000;123,78;6,36;122,5;612,7;531,31;64,37
barreiras-BA;2015;3000;118,12;6,01;130,55;539,2;510,06;59,89
barreiras-BA;2014;3000;106,27;6,01;165,55;577,86;476,24;46,32
barreiras-BA;2013;3000;58,27;6,32;112;617,26;437,84;30,43
barreiras-BA;2012;2880;156,01;5,4;94,5;429,86;139,4;33,57
barreiras-BA;2011;2880;148,31;5,4;54;387,59;149,65;33,28
barreiras-BA;2010;2880;145,59;5,77;58,5;337,4;157,9;47,74
barreiras-BA;2009;2880;150,62;5,4;58,5;391,72;181,44;49,24
barreiras-BA;2008;2880;153,78;6,09;78,75;438,74;190,96;81,22
barreiras-BA;2007;2880;155,09;5,58;52,2;306,63;203,53;50,92
barreiras-BA;2006;2880;143,41;5,85;40,5;267;212,25;56,74
campo mourão - PR - ogm;2023;;;;;;;
campo mourão - PR - ogm;2022;3650;195,55;0;425,2;2275,89;1397,09;171,96
campo mourão - PR - ogm;2021;3650;113,85;0;290;1020,26;855,52;56,92
campo mourão - PR - ogm;2020;3650;108,68;0;324;719,03;688,61;65,97
campo mourão - PR - ogm;2019;3650;105,71;0;312;675,06;717,82;65,56
campo mourão - PR - ogm;2018;3000;181,08;49,78;142,5;318,13;382,55;42,64
campo mourão - PR - ogm;2017;3000;173,26;46,82;190,5;295,51;398,76;46,03
campo mourão - PR - ogm;2016;3000;171,33;46,82;190,5;295,51;409,07;44,19
campo mourão - PR - ogm;2015;3000;171,03;46,82;149,5;295,1;397,91;42,26
campo mourão - PR - ogm;2014;3000;142,56;16,42;92;269,61;220,21;35,16
campo mourão - PR - ogm;2013;3000;130,85;16,42;122,5;289,68;209,39;36,28
campo mourão - PR - ogm;2012;3000;148,29;11,3;80,5;306,45;178,66;41,72
campo mourão - PR - ogm;2011;3000;143,36;12,38;58,5;261,73;154,79;40,39
campo mourão - PR - ogm;2010;3000;141,34;12,38;87,5;226,7;162,85;33,1
campo mourão - PR - ogm;2009;3000;147,57;12,84;70;288;232,96;44,87231143
campo mourão - PR - ogm;2008;3000;140,4;13,9;72,5;319,21;240,51;52,447908
campo mourão - PR - ogm;2007;3000;137,33;12,84;50;231,6;229,07;44,13641825
campo mourão - PR - ogm;2006;;;;;;;
campo novo parecis-MT;2022;;;;;;;
campo novo parecis-MT;2021;;;;;;;
campo novo parecis-MT;2020;;;;;;;
campo novo parecis-MT;2019;3120;89,05;0;175;674,58;640,52;66,51
campo novo parecis-MT;2018;3120;105,82;0;220;691,63;722,84;66,48
campo novo parecis-MT;2017;3120;99,81;0;217,5;693,36;768,42;69,96
campo novo parecis-MT;2016;3120;98,58;0;200;741,93;817,92;71,24
campo novo parecis-MT;2015;3120;93,01;0;200;804;801,15;72,22
campo novo parecis-MT;2014;3120;77,67;0;175;674,58;636,99;54,01
campo novo parecis-MT;2013;3000;124,85;16,94;90;598,71;244,72;39,39
campo novo parecis-MT;2012;3000;137,86;14,15;90;598,71;244,72;47,33
campo novo parecis-MT;2011;3000;124,57;12,44;94,5;502,98;195,35;44,84
campo novo parecis-MT;2010;3000;119,7;11,28;90;478,05;235,74;33,44
campo novo parecis-MT;2009;3000;118,33;8,75;74,7;385,04;263,65;34,85
campo novo parecis-MT;2008;3000;115,21;8,47;76,5;536,91;272,62;41,47
campo novo parecis-MT;2007;3000;116,62;8,47;60,75;434,8;298,27;42,42
campo novo parecis-MT;2006;3000;110;7,9;54;342,66;423,7;50,49
chapadão do sul-MS;2018;3100;139,12;6,88;245;671,45;599,15;52,5
chapadão do sul-MS;2017;3100;116,57;0;266;719,27;591,35;54,53
chapadão do sul-MS;2016;3100;123,01;0;248,5;839,8;601,34;57,61
