Coluna1;municipio;ano;produto;tipo_agricultura;despesas_custeio;outras_despesas;juros;renda_fatores;despesas_pos_colheita
0;Carauari;2018;MURUMURU;;8198.07;315.06;50.764468834803786;11.52;
1;Carauari;2019;MURUMURU;;8119.26;312.7;18.73;77.13;
2;Carauari;2020;MURUMURU;;9694.730000000001;567.3199999999999;22.95;36.25;
3;Carauari;2021;MURUMURU;;9791.28;570.22;78.45;23.0;
4;Carauari;2022;MURUMURU;;21459.48;793.77;351.85729114121756;58.07;
5;Lábrea;2017;MURUMURU;;7653.74;401.34000000000003;15.765451251946178;6.0;
6;Lábrea;2018;MURUMURU;;7029.08;329.31;33.24;126.53;
7;Lábrea;2019;MURUMURU;;22909.96;835.98;105.27;107.98;
8;Lábrea;2020;MURUMURU;;26675.9;946.4399999999999;124.25;50.75;
9;Lábrea;2021;MURUMURU;;25123.0;899.85;130.19;6.53;
10;Lábrea;2022;MURUMURU;;34899.99;1248.6;295.58;128.1;
11;Monte Santo;2017;LICURI;;1912.48;91.87;57.23798656947912;300.0;
12;Monte Santo;2018;LICURI;;2147.54;98.93;48.98350136524041;225.0;
13;Monte Santo;2020;LICURI;;2396.0;94.38;28.08;145.0;
14;Monte Santo;2021;LICURI;;2867.5;1211.02;56.22;92.0;
15;Monte Santo;2022;LICURI;;2873.1;1436.19;89.76;366.0;
16;Guanambi;2007;FEIJÃO 1ª SAFRA;Agricultura Familiar;597.4499999999999;;6.1696304499876335;45.99;22.9
17;Guanambi;2008;FEIJÃO 1ª SAFRA;Agricultura Familiar;678.51;24.52;7.3714252334696955;0.0;
18;Guanambi;2009;FEIJÃO 1ª SAFRA;Agricultura Familiar;771.02;;7.562898147351259;30.0;26.369999999999997
19;Guanambi;2010;FEIJÃO 1ª SAFRA;Agricultura Familiar;927.89;33.89;8.41708566462792;0.0;
20;Guanambi;2011;FEIJÃO 1ª SAFRA;Agricultura Familiar;1123.92;22.48;10.720726956908697;0.0;
21;Guanambi;2012;FEIJÃO 1ª SAFRA;Agricultura Familiar;1143.44;46.96;10.844181364459766;0.0;
22;Guanambi;2013;FEIJÃO 1ª SAFRA;Agricultura Familiar;1248.22;79.98;11.445568934051154;0.0;
23;Guanambi;2014;FEIJÃO 1ª SAFRA;Agricultura Familiar;1224.03;72.66;12.444790505516382;0.0;
24;Guanambi;2015;FEIJÃO 1ª SAFRA;Agricultura Familiar;1307.74;;8.900920804371736;;83.09
25;Guanambi;2016;FEIJÃO 1ª SAFRA;Agricultura Familiar;1561.22;;15.225890054412572;;131.19
26;Guanambi;2017;FEIJÃO 1ª SAFRA;Agricultura Familiar;1347.76;;12.578242765650241;;128.11
27;Guanambi;2018;FEIJÃO 1ª SAFRA;Agricultura Familiar;1498.38;;12.119653172348027;67.5;104.62
28;Guanambi;2019;FEIJÃO 1ª SAFRA;Agricultura Familiar;1531.92;105.36000000000001;15.32849279643552;165.74;
29;Guanambi;2020;FEIJÃO 1ª SAFRA;Agricultura Familiar;1953.96;166.62;12.34;169.73;
30;Guanambi;2021;FEIJÃO 1ª SAFRA;Agricultura Familiar;2270.64;183.32;6.7;46.56;
31;AE;2004;FEIJÃO 1ª SAFRA;;738.0;;51.07;18.0;67.97
32;AE;2005;FEIJÃO 1ª SAFRA;;837.9599999999999;;66.72;18.0;73.87
33;AE;2006;FEIJÃO 1ª SAFRA;;879.0999999999999;;54.64;18.0;82.29
34;AE;2007;FEIJÃO 1ª SAFRA;;992.2200000000001;;50.589999999999996;18.0;82.97
35;AE;2008;FEIJÃO 1ª SAFRA;;1376.3000000000002;;68.21000000000001;18.0;105.64
36;Irecê;2007;FEIJÃO 1ª SAFRA;;629.27;;13.27100238149743;55.19;23.09
37;Irecê;2008;FEIJÃO 1ª SAFRA;;765.45;26.7;17.115574817955228;0.0;
38;Irecê;2009;FEIJÃO 1ª SAFRA;;785.4000000000001;;16.33081660196995;36.0;27.1
39;Irecê;2010;FEIJÃO 1ª SAFRA;;844.41;29.54;16.39313689722261;0.0;
40;Irecê;2011;FEIJÃO 1ª SAFRA;;911.51;18.23;19.351184841189013;0.0;
41;Irecê;2012;FEIJÃO 1ª SAFRA;;1040.55;62.56;18.87647913832761;0.0;
42;Irecê;2013;FEIJÃO 1ª SAFRA;;1172.3;76.58;19.850614793961707;0.0;
43;Irecê;2014;FEIJÃO 1ª SAFRA;;1239.1;;49.461110046314104;60.0;114.39
44;Irecê;2015;FEIJÃO 1ª SAFRA;;1394.38;121.47;31.94;38.9;
45;Irecê;2016;FEIJÃO 1ª SAFRA;;1490.22;93.48;33.44;51.88;
46;Irecê;2017;FEIJÃO 1ª SAFRA;;1589.55;131.23;35.57;55.81;
47;Irecê;2018;FEIJÃO 1ª SAFRA;;1758.32;107.16;39.11;50.56;
48;Irecê;2019;FEIJÃO 1ª SAFRA;;1780.13;156.95;42.39;38.56;
49;Macaúbas;2007;FEIJÃO 1ª SAFRA;;579.1800000000001;;3.2718729187100015;45.99;40.34
50;Macaúbas;2008;FEIJÃO 1ª SAFRA;;607.74;40.91;3.5100389100571845;0.0;
51;Macaúbas;2009;FEIJÃO 1ª SAFRA;;692.79;;3.6811878915991985;30.0;42.62
52;Macaúbas;2010;FEIJÃO 1ª SAFRA;;785.4;46.66;4.3687101334699445;0.0;
53;Macaúbas;2011;FEIJÃO 1ª SAFRA;;860.9;37.22;4.450447783644028;0.0;
54;Macaúbas;2012;FEIJÃO 1ª SAFRA;;945.17;62.99;5.377792743093702;0.0;
55;Macaúbas;2013;FEIJÃO 1ª SAFRA;;1021.1;98.17;5.707575461963943;0.0;
56;Macaúbas;2014;FEIJÃO 1ª SAFRA;;1104.86;74.95;5.930682469885935;0.0;
57;R. do Pombal;2007;FEIJÃO 1ª SAFRA;Agricultura Familiar;737.3100000000001;;6.00732745224825;45.99;29.86
58;R. do Pombal;2008;FEIJÃO 1ª SAFRA;Agricultura Familiar;914.13;36.48;8.672266136322616;0.0;
59;R. do Pombal;2009;FEIJÃO 1ª SAFRA;Agricultura Familiar;1059.56;;10.115416308329369;30.0;39.39
60;R. do Pombal;2010;FEIJÃO 1ª SAFRA;Agricultura Familiar;1053.15;39.26;9.32709323276402;0.0;
61;R. do Pombal;2011;FEIJÃO 1ª SAFRA;Agricultura Familiar;1116.54;22.33;9.527869279597457;0.0;
62;R. do Pombal;2012;FEIJÃO 1ª SAFRA;Agricultura Familiar;1233.95;90.2;10.138584544742928;0.0;
63;R. do Pombal;2013;FEIJÃO 1ª SAFRA;Agricultura Familiar;1323.19;102.9;11.170331192312474;0.0;
64;R. do Pombal;2014;FEIJÃO 1ª SAFRA;Agricultura Familiar;1263.52;;41.05887771627775;;120.63
65;R. do Pombal;2015;FEIJÃO 1ª SAFRA;Agricultura Familiar;1367.3600000000001;;52.48362788930813;;125.82000000000001
66;R. do Pombal;2016;FEIJÃO 1ª SAFRA;Agricultura Familiar;1528.22;;64.9607273286353;;149.18
67;R. do Pombal;2017;FEIJÃO 1ª SAFRA;Agricultura Familiar;1544.3000000000002;;54.762494088537075;;146.16
68;R. do Pombal;2018;FEIJÃO 1ª SAFRA;Agricultura Familiar;1707.88;;33.22322479603775;25.88;110.4
69;Brejo Santo;2007;FEIJÃO 1ª SAFRA;Agricultura Familiar;557.3900000000001;;14.766363366180563;54.1;
70;Brejo Santo;2008;FEIJÃO 1ª SAFRA;Agricultura Familiar;653.07;;17.301115778093504;59.879999999999995;
71;Brejo Santo;2009;FEIJÃO 1ª SAFRA;Agricultura Familiar;836.21;;22.152856546464495;59.88;
72;Brejo Santo;2010;FEIJÃO 1ª SAFRA;Agricultura Familiar;888.86;;23.5476591644329;59.88;
73;Brejo Santo;2011;FEIJÃO 1ª SAFRA;Agricultura Familiar;1024.43;;27.139176560785714;61.5;
