Ano;Município (Código);Município;area_lavouras;despesa_insumos;despesa_lavouras;despesa_terras;CR_sicor;pessoal_ocupado;qtde_maquinas;qtde_tratores;receita_lavouras;uso_adubos;uso_agrotoxicos;uso_assistencia_tecnica;uso_corretivos;producao;pib_agro
2017;1100015;Alta Floresta D'Oeste - RO;8146,8;53914;15354;28521;60873761,25;8550;665;517;39555;1052;2178;511;178;191374;169623
2017;1100023;Ariquemes - RO;10575,8;46887;11917;19194;88515333,67;7082;635;501;20499;351;1077;329;320;153569;165217
2017;1100031;Cabixi - RO;35088,6;53396;117024;NA;28374693,57;3085;417;247;95531;200;488;307;176;146924;63022
2017;1100049;Cacoal - RO;8681,3;36969;15588;15830;63506972,37;9410;539;465;33498;1204;2795;378;363;165834;255060
2017;1100056;Cerejeiras - RO;40378,3;88470;111502;NA;54799084,08;2182;605;303;132285;199;333;167;185;202533;61940
2017;1100064;Colorado do Oeste - RO;2512,1;23835;7888;14972;56741752,15;4891;367;248;7063;203;864;548;146;129799;78346
2017;1100072;Corumbiara - RO;50163,7;113242;99183;NA;106279248,25;5921;554;306;173134;173;776;299;100;571195;227123
2017;1100080;Costa Marques - RO;2282,2;21361;2154;10799;31853326,53;4425;297;269;5745;120;716;550;90;91310;62852
2017;1100098;Espigão D'Oeste - RO;5031,2;29166;7710;12342;44971872,58;6715;405;334;10773;206;1321;241;120;140380;124625
2017;1100106;Guajará-Mirim - RO;1840,3;5817;718;1517;6076417,09;2780;97;91;4722;68;79;262;58;28970;47074
2017;1100114;Jaru - RO;4718,0;32083;2527;10183;73263530,75;8390;321;262;5609;200;1522;575;225;177910;172325
2017;1100122;Ji-Paraná - RO;2299,8;27024;2452;NA;77580328,41;7803;431;312;4486;343;1090;740;340;135145;142861
2017;1100130;Machadinho D'Oeste - RO;10600,9;34667;13894;20015;62157069,89;11820;341;257;27794;498;1566;408;448;112310;183427
2017;1100148;Nova Brasilândia D'Oeste - RO;8142,3;18667;15883;11554;28906957,66;7851;282;229;42339;1501;2464;319;667;99557;115926
2017;1100155;Ouro Preto do Oeste - RO;1757,1;24493;1450;10546;52794570,09;6038;235;183;5091;225;1260;598;181;137037;135777
2017;1100189;Pimenta Bueno - RO;404,9;19939;882;7691;68545929,24;2898;376;332;1488;88;720;150;91;97683;107192
2017;1100205;Porto Velho - RO;14454,3;64361;14760;26318;142785650,74;16985;1153;772;41913;852;1866;1231;647;362789;589995
2017;1100254;Presidente Médici - RO;1802,1;20531;3120;9047;48208938,37;6621;233;190;7346;320;1505;603;102;126928;103300
2017;1100262;Rio Crespo - RO;6899,9;19966;16863;12940;23875423,97;1685;241;163;25693;88;190;71;81;104753;59951
2017;1100288;Rolim de Moura - RO;4650,7;34631;12673;19068;45016014,02;5634;427;314;20627;498;1185;449;298;113004;105487
