,municipio,ano,produto,tipo_agricultura,despesas_custeio,despesas_extrativista,outras_despesas,juros,renda_fatores,produtividade_media,despesas_pos_colheita
0,carauari,2018,MURUMURU,sociobiodiversidade,8198.07,,315.06,50.764468834803786,11.52,4608,
1,carauari,2019,MURUMURU,sociobiodiversidade,8119.26,,312.7,18.73,77.13,4608,
2,carauari,2020,MURUMURU,sociobiodiversidade,9694.730000000001,,567.3199999999999,22.95,36.25,Ex-Post,
3,carauari,2021,MURUMURU,sociobiodiversidade,9791.28,,570.22,78.45,23.0,Ex-Post,
4,carauari,2022,MURUMURU,sociobiodiversidade,21459.48,,793.77,351.85729114121756,58.07,6666,
5,labrea,2017,MURUMURU,sociobiodiversidade,7653.74,,401.34000000000003,15.765451251946178,6.0,16800,
6,labrea,2018,MURUMURU,sociobiodiversidade,7029.08,,329.31,33.24,126.53,16800,
7,labrea,2019,MURUMURU,sociobiodiversidade,22909.96,,835.98,105.27,107.98,16800,
8,labrea,2020,MURUMURU,sociobiodiversidade,26675.9,,946.4399999999999,124.25,50.75,Ex-Post,
9,labrea,2021,MURUMURU,sociobiodiversidade,25123.0,,899.85,130.19,6.53,Ex-Post,
10,labrea,2022,MURUMURU,sociobiodiversidade,34899.99,,1248.6,295.58,128.1,Ex-Post,
11,monte santo,2017,LICURI,sociobiodiversidade,1912.48,,91.87,57.23798656947912,300.0,7500,
12,monte santo,2018,LICURI,sociobiodiversidade,2147.54,,98.93,48.98350136524041,225.0,7500,
13,monte santo,2020,LICURI,sociobiodiversidade,2396.0,,94.38,28.08,145.0,Ex-Post,
14,monte santo,2021,LICURI,sociobiodiversidade,2867.5,,1211.02,56.22,92.0,Ex-Post,
15,monte santo,2022,LICURI,sociobiodiversidade,2873.1,,1436.19,89.76,366.0,Ex-Post,
16,guanambi,2007,FEIJÃO 1ª SAFRA,agricultura familiar,597.4499999999999,,,6.1696304499876335,45.99,600,22.9
17,guanambi,2008,FEIJÃO 1ª SAFRA,agricultura familiar,678.51,,24.52,7.3714252334696955,0.0,600,
18,guanambi,2009,FEIJÃO 1ª SAFRA,agricultura familiar,771.02,,,7.562898147351259,30.0,600,26.369999999999997
19,guanambi,2010,FEIJÃO 1ª SAFRA,agricultura familiar,927.89,,33.89,8.41708566462792,0.0,600,
20,guanambi,2011,FEIJÃO 1ª SAFRA,agricultura familiar,1123.92,,22.48,10.720726956908697,0.0,600,
21,guanambi,2012,FEIJÃO 1ª SAFRA,agricultura familiar,1143.44,,46.96,10.844181364459766,0.0,600,
22,guanambi,2013,FEIJÃO 1ª SAFRA,agricultura familiar,1248.22,,79.98,11.445568934051154,0.0,600,
23,guanambi,2014,FEIJÃO 1ª SAFRA,agricultura familiar,1224.03,,72.66,12.444790505516382,0.0,600,
