;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Acre;Acre;Acre;Acre;Acre;Acre;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Roraima;Roraima;Roraima;Roraima;Roraima;Roraima;Pará;Pará;Pará;Pará;Pará;Pará;Amapá;Amapá;Amapá;Amapá;Amapá;Amapá;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Piauí;Piauí;Piauí;Piauí;Piauí;Piauí;Ceará;Ceará;Ceará;Ceará;Ceará;Ceará;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;Paraná;Paraná;Paraná;Paraná;Paraná;Paraná;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal
;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021;2016;2017;2018;2019;2020;2021
Total;626280;685672;657384;740890;813919;876283;107294;100543;85330;81903;81580;86610;123625;131242;123073;123121;123071;105834;64121;58398;75980;81597;94052;109373;1567967;1728939;1703136;1820267;2015845;2159317;37651;42260;36828;37334;38679;28338;1232549;1282545;1361447;1427218;1544996;1812917;1597851;1810133;1821742;1722710;1719056;1811092;1491070;1630546;1650461;1638585;1659140;1764444;1438053;1521932;1471602;1372558;1385916;1408135;280160;296147;311030;323868;327500;296355;362119;342576;377166;357769;369192;335845;858635;799091;788874;747128;794490;802278;455548;521140;449703;490459;464077;506101;361499;339822;279276;274263;278043;296948;4574500;4075524;4127884;4122259;4139407;4200124;5534141;5296173;5351586;5627003;5833639;5997992;616289;584314;567298;558348;565189;578997;123978;116185;109610;113402;112457;115979;8631378;8824386;8654621;8871308;8863353;8811248;10732006;10658069;10477235;10671580;10866307;11139398;1577861;1569090;1517154;1509001;1511365;1570172;8934034;9072148;9071071;9220201;9532319;9963383;4945499;5284089;5476878;5794832;5956921;6405809;14551044;15619823;15523336;16640532;17188641;17968089;6345627;6436529;6351417;6676276;6935757;7354306;166489;162894;165073;165445;171565;166865
Abacate;-;-;-;-;8;-;112;114;108;106;106;-;57;50;51;46;68;115;-;50;-;-;-;-;17;17;17;10;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;456;458;460;690;741;1368;45;49;45;47;47;48;70;66;80;79;81;82;37;75;31;44;38;48;8;102;101;111;118;118;-;-;-;-;-;-;239;350;278;271;277;317;2924;4062;4650;4898;5207;5645;345;389;422;773;855;918;30;31;40;37;39;40;4921;5512;6343;6544;7131;7666;1045;1106;1128;1152;1291;1370;4;6;2;4;4;4;393;371;367;383;336;329;-;-;-;-;-;-;-;-;-;-;-;-;77;108;87;38;38;38;153;149;140;140;140;140
Abacaxi*;927;1081;938;768;938;784;597;616;529;521;528;526;4330;2352;2278;2821;2738;2389;208;218;339;410;415;415;13429;11543;18779;14032;13680;13917;1270;1364;1149;1146;1206;1276;3350;4467;3954;4288;4727;4783;1726;1376;1470;1318;1081;1096;-;-;-;-;-;-;87;45;27;27;38;20;2429;2511;2585;2545;2545;2570;9435;12136;10912;10066;9055;8791;1074;1146;1335;1393;1418;1292;1656;2762;3068;3535;3591;3619;695;1156;1158;1169;926;825;3508;3607;2422;2505;2499;2574;7915;7508;6390;5981;5757;5322;2429;2415;2423;2426;2236;2239;3615;4559;4557;4611;4559;4548;3356;1011;3371;2955;2684;2588;409;644;520;523;536;497;9;6;16;14;14;14;300;298;314;298;288;287;239;274;253;289;271;242;1449;1377;1466;1516;1391;1401;2815;2798;1707;1889;1927;1849;2;16;6;6;6;6
Açaí;-;462;324;268;356;223;-;-;100;100;100;130;845;5052;5022;5246;5309;5830;485;508;609;600;603;306;166509;188483;172016;188015;212479;198963;-;-;-;-;-;-;-;139;127;176;210;200;-;463;578;582;649;812;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;5;41;53;37;56;78;-;-;-;-;-;-;146;1159;1229;1544;1674;1696;-;-;-;-;-;-;34;53;51;51;54;54;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;-;-;-;-;-;-;-;-;-;-;-;-
Alfafa fenada;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Algodão arbóreo (em caroço);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Algodão herbáceo (em caroço);350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900;2500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3980;3620;2000;3859;5725;1521;20913;22491;22342;27752;26536;25924;5536;5423;7369;15498;18401;9705;406;516;1611;2928;3233;2610;271;266;266;324;273;270;179;417;479;914;2197;1539;38;50;52;197;85;163;60;31;113;164;638;1060;-;-;-;55;-;-;279870;197676;267107;330782;313648;275517;19669;18854;22286;42224;39135;26173;-;-;-;-;-;-;-;-;-;-;-;-;4893;4439;5797;13839;12633;5767;-;-;154;302;141;97;-;-;-;-;-;-;-;-;-;-;-;-;29650;28841;30450;37895;31655;23005;606314;616374;761864;1106497;1140416;963041;29273;26606;28136;44215;38522;33503;-;25;-;-;-;-
Alho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;2;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;645;629;516;524;609;535;3212;2644;3051;3424;4054;4861;72;92;164;154;157;154;-;-;-;-;-;-;12;19;24;23;26;26;349;444;434;305;329;306;2500;2229;1771;1655;1726;1881;2082;2019;1920;1946;1598;1488;-;-;-;-;-;-;-;-;-;-;-;-;2203;2348;2480;2788;3425;3500;329;262;300;300;300;300
Amendoim (em casca);71;118;96;109;128;118;222;165;133;85;84;85;-;-;-;-;-;-;-;-;-;-;-;-;59;62;62;97;93;88;-;-;-;-;-;-;1185;112;353;279;433;29;106;68;149;122;159;152;70;70;67;60;50;53;361;659;488;424;472;475;-;-;-;-;-;-;555;527;694;677;690;505;19;10;52;47;42;42;1422;1891;2151;2274;2384;2178;656;702;797;784;820;826;5642;5169;4718;4796;3980;4009;2097;3817;3685;2547;3831;5791;-;2;2;2;2;2;-;-;-;-;-;-;136452;134555;132438;152578;158973;183144;1980;2042;1760;2151;1949;1573;112;109;63;45;30;5;2740;2711;2485;2063;1791;1708;960;1615;1310;2089;2065;2517;129;115;362;446;881;635;70;30;-;-;-;-;4;-;-;-;-;-
