Município (Código);Município;Soma
1100015;Alta Floresta D'Oeste (RO);1052
1100023;Ariquemes (RO);351
1100031;Cabixi (RO);200
1100049;Cacoal (RO);1204
1100056;Cerejeiras (RO);199
1100064;Colorado do Oeste (RO);203
1100072;Corumbiara (RO);173
1100080;Costa Marques (RO);120
1100098;Espigão D'Oeste (RO);206
1100106;Guajará-Mirim (RO);68
1100114;Jaru (RO);200
1100122;Ji-Paraná (RO);343
1100130;Machadinho D'Oeste (RO);498
1100148;Nova Brasilândia D'Oeste (RO);1501
1100155;Ouro Preto do Oeste (RO);225
1100189;Pimenta Bueno (RO);88
1100205;Porto Velho (RO);852
1100254;Presidente Médici (RO);320
1100262;Rio Crespo (RO);88
1100288;Rolim de Moura (RO);498
1100296;Santa Luzia D'Oeste (RO);269
1100304;Vilhena (RO);489
1100320;São Miguel do Guaporé (RO);959
1100338;Nova Mamoré (RO);91
1100346;Alvorada D'Oeste (RO);416
1100379;Alto Alegre dos Parecis (RO);1214
1100403;Alto Paraíso (RO);315
1100452;Buritis (RO);208
1100502;Novo Horizonte do Oeste (RO);409
1100601;Cacaulândia (RO);59
1100700;Campo Novo de Rondônia (RO);85
1100809;Candeias do Jamari (RO);182
1100908;Castanheiras (RO);124
1100924;Chupinguaia (RO);82
1100940;Cujubim (RO);207
1101005;Governador Jorge Teixeira (RO);56
1101104;Itapuã do Oeste (RO);100
1101203;Ministro Andreazza (RO);416
1101302;Mirante da Serra (RO);153
1101401;Monte Negro (RO);89
1101435;Nova União (RO);76
1101450;Parecis (RO);68
1101468;Pimenteiras do Oeste (RO);96
1101476;Primavera de Rondônia (RO);85
1101484;São Felipe D'Oeste (RO);190
1101492;São Francisco do Guaporé (RO);209
1101500;Seringueiras (RO);347
1101559;Teixeirópolis (RO);84
1101609;Theobroma (RO);92
1101708;Urupá (RO);86
1101757;Vale do Anari (RO);176
1101807;Vale do Paraíso (RO);55
1200013;Acrelândia (AC);199
1200054;Assis Brasil (AC);3
1200104;Brasiléia (AC);243
1200138;Bujari (AC);107
1200179;Capixaba (AC);94
1200203;Cruzeiro do Sul (AC);360
1200252;Epitaciolândia (AC);154
