Município (Código);Município;Produção de lavouras temporárias;Horticultura e floricultura;Produção de lavouras permanentes;Produção de sementes e mudas certificadas;Produção florestal 0 florestas plantadas;Produção florestal 0 florestas nativas;Soma
1100015;Alta Floresta D'Oeste (RO);4069;113;13621;X;X;91;17894
1100023;Ariquemes (RO);13575;1028;6578;X;X;-;21181
1100031;Cabixi (RO);36330;85;635;X;-;X;37050
1100049;Cacoal (RO);3544;409;15967;X;X;345;20265
1100056;Cerejeiras (RO);39699;X;3703;-;-;-;43402
1100064;Colorado do Oeste (RO);2651;384;531;X;X;-;3566
1100072;Corumbiara (RO);57996;X;4174;-;X;-;62170
1100080;Costa Marques (RO);2480;447;2375;-;X;334;5636
1100098;Espigão D'Oeste (RO);4533;312;2308;-;X;538;7691
1100106;Guajará-Mirim (RO);3882;X;482;-;-;1104;5468
1100114;Jaru (RO);2635;122;4769;-;-;X;7526
1100122;Ji-Paraná (RO);2902;953;1446;-;X;-;5301
1100130;Machadinho D'Oeste (RO);8256;694;13938;-;X;2712;25600
1100148;Nova Brasilândia D'Oeste (RO);2690;22;17640;110;X;X;20462
1100155;Ouro Preto do Oeste (RO);808;31;1507;X;-;X;2346
1100189;Pimenta Bueno (RO);921;945;999;-;X;X;2865
1100205;Porto Velho (RO);60682;854;19725;X;5725;89881;176867
1100254;Presidente Médici (RO);1219;391;2128;-;X;X;3738
1100262;Rio Crespo (RO);6473;73;1257;X;-;X;7803
1100288;Rolim de Moura (RO);4233;429;4190;X;X;X;8852
1100296;Santa Luzia D'Oeste (RO);11760;222;1606;-;X;-;13588
1100304;Vilhena (RO);53122;536;6271;-;X;-;59929
1100320;São Miguel do Guaporé (RO);25127;950;12395;X;X;X;38472
1100338;Nova Mamoré (RO);2237;X;1832;-;-;X;4069
1100346;Alvorada D'Oeste (RO);2158;36;4819;-;-;-;7013
1100379;Alto Alegre dos Parecis (RO);12513;116;11419;X;-;-;24048
1100403;Alto Paraíso (RO);12509;652;11885;X;X;X;25046
1100452;Buritis (RO);1620;121;4007;-;X;-;5748
1100502;Novo Horizonte do Oeste (RO);3357;103;3780;X;X;X;7240
1100601;Cacaulândia (RO);391;X;2223;-;-;-;2614
1100700;Campo Novo de Rondônia (RO);3400;X;2288;X;-;-;5688
1100809;Candeias do Jamari (RO);19926;584;1855;-;X;302;22667
1100908;Castanheiras (RO);2242;X;648;-;-;X;2890
1100924;Chupinguaia (RO);48500;4066;577;-;-;-;53143
1100940;Cujubim (RO);12136;252;4325;-;X;X;16713
1101005;Governador Jorge Teixeira (RO);595;111;2755;-;-;X;3461
1101104;Itapuã do Oeste (RO);3019;441;1059;X;-;399;4918
1101203;Ministro Andreazza (RO);242;-;5350;-;-;-;5592
1101302;Mirante da Serra (RO);429;X;2412;-;X;X;2841
1101401;Monte Negro (RO);922;X;2531;-;-;-;3453
1101435;Nova União (RO);536;181;1573;-;X;-;2290
1101450;Parecis (RO);258;-;X;-;-;-;258
1101468;Pimenteiras do Oeste (RO);52302;X;2199;-;-;-;54501
1101476;Primavera de Rondônia (RO);1089;X;235;-;-;-;1324
1101484;São Felipe D'Oeste (RO);2034;X;846;-;X;-;2880
1101492;São Francisco do Guaporé (RO);6826;2951;2424;-;X;X;12201
1101500;Seringueiras (RO);X;1086;5395;-;-;X;6481
1101559;Teixeirópolis (RO);351;X;188;-;-;-;539
1101609;Theobroma (RO);1992;X;2297;-;X;-;4289
1101708;Urupá (RO);303;122;1005;-;-;-;1430
1101757;Vale do Anari (RO);2062;X;4505;X;-;1629;8196
1101807;Vale do Paraíso (RO);243;X;661;X;X;-;904
1200013;Acrelândia (AC);7978;X;14075;X;-;9641;31694
1200054;Assis Brasil (AC);16210;7;1258;-;-;5359;22834
1200104;Brasiléia (AC);72352;57;4838;-;X;60777;138024
1200138;Bujari (AC);13649;366;3695;-;1415;1894;21019
1200179;Capixaba (AC);23403;295;6861;X;-;1908;32467
1200203;Cruzeiro do Sul (AC);63268;268;2291;X;X;1465;67292
