Município (Código);Município;Lavouras - permanentes;Lavouras - temporárias;Lavouras - área para cultivo de flores;Pastagens - naturais;Pastagens - plantadas em boas condições;Pastagens - pastagens plantadas em más condições;Matas ou florestas - matas e/ou florestas naturais;Matas ou florestas - florestas plantadas;Sistemas agroflorestais - área cultivada com espécies florestais também usada para lavouras e pastoreio por animais;Soma
1100015;Alta Floresta D'Oeste (RO);6066,5;2080,3;7,7;24757,7;211273,1;2316,9;31465,5;258,3;10480,8;288706,8
1100023;Ariquemes (RO);5234,5;5341,3;X;X;219168;2617,8;9191,4;615;1573,3;243741,3
1100031;Cabixi (RO);4637,3;30451,3;X;5040,6;52431,3;380,2;246,1;593,4;X;93780,2
1100049;Cacoal (RO);6737,7;1943,6;X;1658,4;171845;1492,8;1480,3;180,4;X;185338,2
1100056;Cerejeiras (RO);4966,8;35411,4;X;22522,7;32341;1411,4;1559;X;489;98701,3
1100064;Colorado do Oeste (RO);1019,3;1492,8;X;X;106121,3;1099;188,1;1097,7;67,6;111085,8
1100072;Corumbiara (RO);4193,9;45969,8;65,4;1050,6;167738,9;2798;6425,7;25,4;253,7;228521,4
1100080;Costa Marques (RO);1523,6;758,7;X;8877,5;139167,9;2475,5;3278,1;X;2250,9;158332,2
1100098;Espigão D'Oeste (RO);1679,3;3351,9;X;X;161198,5;555,4;1049,1;2884,4;898,3;171616,9
1100106;Guajará-Mirim (RO);771,3;1068,9;1,7;1887,1;42949,5;1886,9;1018,1;X;X;49583,5
1100114;Jaru (RO);4087,5;630,5;17,7;-;215474,8;3984,6;1473,8;143;795,6;226607,5
1100122;Ji-Paraná (RO);869,9;1430;26,2;2675,5;173173,9;1682,3;1357,6;244,6;134,1;181594,1
1100130;Machadinho D'Oeste (RO);5871,9;4729;5;-;192015,3;7336,2;14429;832,8;1988;227207,2
1100148;Nova Brasilândia D'Oeste (RO);7439,7;702,6;X;X;107379,4;680,2;3531,9;114,3;173,7;120021,8
1100155;Ouro Preto do Oeste (RO);1380,8;376,4;2,3;1553,2;126106,2;2205,9;147,8;176,5;128,3;132077,4
1100189;Pimenta Bueno (RO);209,8;195,1;X;655,3;146519,5;5631;13851;1074,4;X;168136,1
1100205;Porto Velho (RO);4879,4;9574,9;122,9;41255,8;297477,5;12800,6;9049,9;10923,3;46296,5;432380,8
1100254;Presidente Médici (RO);1161,3;640,8;36,8;859,2;100298,8;339,1;667;99,6;175,6;104278,2
1100262;Rio Crespo (RO);599,8;6300,1;-;-;73315,5;873,6;X;X;-;81089
1100288;Rolim de Moura (RO);1945,8;2704,9;X;X;93905,2;1595;421,8;562,6;302,3;101437,6
1100296;Santa Luzia D'Oeste (RO);977;6533,8;-;X;58319,6;1067,9;1563,2;38,9;X;68500,4
1100304;Vilhena (RO);5895,4;30625,4;118;X;77464,5;12324,5;6295,2;6464,6;X;139187,6
1100320;São Miguel do Guaporé (RO);4970;17680,2;6;2945,5;113233,4;665,2;3171,3;67;4410;147148,6
1100338;Nova Mamoré (RO);1621,9;776,8;X;14916,8;168229,3;3038,5;2266,9;X;601,5;191451,7
1100346;Alvorada D'Oeste (RO);1808,6;918,1;53;1730,6;108244,5;5631;1312,7;73,8;58,7;119831
1100379;Alto Alegre dos Parecis (RO);5641,7;3276,7;19,5;2007,9;95572,8;571,8;1339,1;47,7;432,1;108909,3
1100403;Alto Paraíso (RO);5857,2;8004,3;X;31474,1;96494,1;1639,1;834,1;X;2119,1;146422
1100452;Buritis (RO);2523;708,7;X;4598,4;180404;491,4;908,1;75,5;X;189709,1
1100502;Novo Horizonte do Oeste (RO);1717,2;2715,1;119,1;324,9;50684,7;130,1;116,7;538,9;245,6;56592,3
1100601;Cacaulândia (RO);817,6;720,8;3,7;146,2;117058,7;1301,4;765,4;344,9;107,9;121266,6
1100700;Campo Novo de Rondônia (RO);1749,1;614,9;X;1010,7;147703,8;1724;3569,5;54;X;156426
1100809;Candeias do Jamari (RO);2111,7;13180,3;X;2303,1;78780,7;4792,5;3115,5;X;583,9;104867,7
1100908;Castanheiras (RO);310,7;1688,3;-;193,6;37363;936,7;X;17,9;X;40510,2
1100924;Chupinguaia (RO);654;32789,9;-;-;206550,1;X;8799,6;X;-;248793,6
1100940;Cujubim (RO);1904,2;14951,9;X;X;111848,2;4694,2;1077,4;X;545,9;135021,8
1101005;Governador Jorge Teixeira (RO);1113,6;364,1;X;-;108942,2;43,6;116,8;X;-;110580,3
1101104;Itapuã do Oeste (RO);517,8;1591,8;X;1652,4;50333,5;1482,8;1445,7;X;2763,2;59787,2
1101203;Ministro Andreazza (RO);2443,8;125,4;-;9482,9;36702,1;507,8;X;X;52,3;49314,3
1101302;Mirante da Serra (RO);1081,8;486,2;1,6;2173,2;39863,6;1819,4;206;58,1;202,3;45892,2
1101401;Monte Negro (RO);1342,3;322,8;X;1914;103334,1;1211,2;2441,3;-;X;110565,7
1101435;Nova União (RO);793,3;291,9;6,1;466;51891,6;888,5;409,3;51,6;388,7;55187
1101450;Parecis (RO);254;1297;-;X;87762,4;8098,1;3111,5;X;X;100523
1101468;Pimenteiras do Oeste (RO);3627;18325,6;-;14508,9;69360;X;15454,3;X;22969,2;144245
1101476;Primavera de Rondônia (RO);814,6;103,1;X;X;41271,4;188,8;1260,7;11,6;X;43650,2
1101484;São Felipe D'Oeste (RO);669,5;1525,8;X;492,1;30405,8;285,7;90,3;X;164,4;33633,6
1101492;São Francisco do Guaporé (RO);1542,8;3222,4;X;6781;177494,8;1047,3;5946,3;X;9272,7;205307,3
1101500;Seringueiras (RO);3467,5;3668;X;7258,8;72549,4;1455,3;912,2;X;832;90143,2
1101559;Teixeirópolis (RO);199;236,3;2,5;205,1;35809,1;133,4;X;X;102,9;36688,3
1101609;Theobroma (RO);1095,1;1084,7;X;X;161722;83,5;968;64,1;1648,5;166665,9
1101708;Urupá (RO);431;139;X;X;48211,5;285,9;50,6;21,4;308,6;49448
1101757;Vale do Anari (RO);1801,4;1114,6;X;X;89823,4;2371,3;2526,8;20,4;378,8;98036,7
1101807;Vale do Paraíso (RO);761,4;116,9;-;344,1;56734,8;3907,4;284,1;271,8;56,6;62477,1
1200013;Acrelândia (AC);3244,8;1269,4;33,2;-;80542,6;8032,7;2449,6;104,8;104,5;95781,6
1200054;Assis Brasil (AC);393,8;446,3;X;-;16033,1;156,6;-;X;X;17029,8
1200104;Brasiléia (AC);784,6;3396,1;X;-;88489,5;4874,6;30826,4;X;711,8;129083
