Município (Código);Município;Arrendamento de terras;Adubos e corretivos;Sementes e mudas;Agrotóxicos;Novas culturas permanentes e silvicultura;Formação de pastagens;Soma
1100015;Alta Floresta D'Oeste (RO);4387;4257;6277;8517;172;4911;28521
1100023;Ariquemes (RO);3214;6781;803;5524;6;2867;19195
1100031;Cabixi (RO);11958;24922;5890;14730;X;617;58117
1100049;Cacoal (RO);1491;5354;1595;5264;232;1895;15831
1100056;Cerejeiras (RO);12867;32617;24416;23229;X;667;93796
1100064;Colorado do Oeste (RO);3694;3631;1354;3471;4;2818;14972
1100072;Corumbiara (RO);20912;37526;9578;26633;X;3286;97935
1100080;Costa Marques (RO);3192;661;532;3719;157;2538;10799
1100098;Espigão D'Oeste (RO);1669;2553;1445;5550;2;1123;12342
1100106;Guajará-Mirim (RO);524;204;21;321;-;446;1516
1100114;Jaru (RO);3468;845;472;3532;2;1863;10182
1100122;Ji-Paraná (RO);2079;2118;693;2712;X;2394;9996
1100130;Machadinho D'Oeste (RO);3842;5259;1754;5671;10;3479;20015
1100148;Nova Brasilândia D'Oeste (RO);790;4505;1556;3384;336;983;11554
1100155;Ouro Preto do Oeste (RO);3889;1624;1137;2283;18;1595;10546
1100189;Pimenta Bueno (RO);253;1295;528;3082;-;2533;7691
1100205;Porto Velho (RO);3214;6548;5032;7894;22;3609;26319
1100254;Presidente Médici (RO);1491;1185;464;3102;17;2787;9046
1100262;Rio Crespo (RO);2567;4061;1746;3947;-;620;12941
1100288;Rolim de Moura (RO);2225;9011;2063;4295;178;1298;19070
1100296;Santa Luzia D'Oeste (RO);1832;1560;1878;1582;40;1240;8132
1100304;Vilhena (RO);10150;49206;10506;22826;534;1132;94354
1100320;São Miguel do Guaporé (RO);6728;13110;4976;8499;1029;756;35098
1100338;Nova Mamoré (RO);2196;1402;508;2814;X;1248;8168
1100346;Alvorada D'Oeste (RO);3949;2644;776;3577;179;1948;13073
1100379;Alto Alegre dos Parecis (RO);1321;4816;928;5181;797;1967;15010
1100403;Alto Paraíso (RO);2917;4054;3348;4639;4;2006;16968
1100452;Buritis (RO);4084;954;1000;3589;7;3109;12743
1100502;Novo Horizonte do Oeste (RO);1709;1612;2358;1991;30;949;8649
1100601;Cacaulândia (RO);5713;1346;302;4191;-;608;12160
1100700;Campo Novo de Rondônia (RO);2129;369;758;2465;10;1183;6914
1100809;Candeias do Jamari (RO);1110;13649;1946;4584;55;589;21933
1100908;Castanheiras (RO);644;2261;1069;1901;X;302;6177
1100924;Chupinguaia (RO);8295;16087;10033;30228;X;3367;68010
1100940;Cujubim (RO);4591;10409;4252;9181;6;2034;30473
1101005;Governador Jorge Teixeira (RO);941;190;76;1265;3;1112;3587
1101104;Itapuã do Oeste (RO);819;2685;560;1775;4;1261;7104
1101203;Ministro Andreazza (RO);858;1041;278;1724;X;224;4125
1101302;Mirante da Serra (RO);1297;814;322;831;12;796;4072
1101401;Monte Negro (RO);818;627;477;2747;X;700;5369
1101435;Nova União (RO);1414;539;509;900;5;494;3861
1101450;Parecis (RO);213;1447;1180;4204;8;406;7458
1101468;Pimenteiras do Oeste (RO);8563;16714;9470;14248;-;705;49700
1101476;Primavera de Rondônia (RO);434;726;773;1523;X;X;3456
1101484;São Felipe D'Oeste (RO);912;829;729;1010;153;445;4078
1101492;São Francisco do Guaporé (RO);3942;3637;1906;4144;254;3282;17165
1101500;Seringueiras (RO);955;4014;2048;3592;195;1320;12124
1101559;Teixeirópolis (RO);1141;262;259;635;-;416;2713
1101609;Theobroma (RO);1992;1048;494;1707;26;1138;6405
1101708;Urupá (RO);675;290;255;498;X;498;2216
1101757;Vale do Anari (RO);1374;1818;585;2038;X;627;6442
1101807;Vale do Paraíso (RO);1314;474;203;854;X;1568;4413
1200013;Acrelândia (AC);806;775;962;2740;55;2868;8206
1200054;Assis Brasil (AC);14;X;4;X;-;189;207
1200104;Brasiléia (AC);1638;447;872;1472;1;1143;5573
1200138;Bujari (AC);413;279;660;1520;X;1138;4010
1200179;Capixaba (AC);2468;1049;438;1323;X;2543;7821
1200203;Cruzeiro do Sul (AC);202;690;202;45;3;492;1634
1200252;Epitaciolândia (AC);585;239;267;945;X;1258;3294
1200302;Feijó (AC);140;37;206;44;112;597;1136
1200328;Jordão (AC);-;X;6;1;X;18;25
1200336;Mâncio Lima (AC);25;296;117;19;X;563;1020
1200344;Manoel Urbano (AC);X;10;45;209;X;128;392
1200351;Marechal Thaumaturgo (AC);X;9;11;8;-;20;48
1200385;Plácido de Castro (AC);341;2792;1452;1962;5;3152;9704
1200393;Porto Walter (AC);-;61;1;-;-;4;66
1200401;Rio Branco (AC);1130;2757;1668;2855;104;3514;12028
1200427;Rodrigues Alves (AC);2;56;17;20;-;139;234
