Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
1100015;Alta Floresta D'Oeste (RO);3249;12104;15353
1100023;Ariquemes (RO);9881;2037;11918
1100031;Cabixi (RO);116124;899;117023
1100049;Cacoal (RO);5047;10541;15588
1100056;Cerejeiras (RO);110783;719;111502
1100064;Colorado do Oeste (RO);7529;359;7888
1100072;Corumbiara (RO);98012;1171;99183
1100080;Costa Marques (RO);1259;895;2154
1100098;Espigão D'Oeste (RO);5820;1890;7710
1100106;Guajará-Mirim (RO);500;218;718
1100114;Jaru (RO);642;1885;2527
1100122;Ji-Paraná (RO);1395;1057;2452
1100130;Machadinho D'Oeste (RO);10875;3019;13894
1100148;Nova Brasilândia D'Oeste (RO);2405;13478;15883
1100155;Ouro Preto do Oeste (RO);560;890;1450
1100189;Pimenta Bueno (RO);455;428;883
1100205;Porto Velho (RO);9309;5451;14760
1100254;Presidente Médici (RO);1344;1777;3121
1100262;Rio Crespo (RO);16349;514;16863
1100288;Rolim de Moura (RO);8273;4401;12674
1100296;Santa Luzia D'Oeste (RO);5455;1460;6915
1100304;Vilhena (RO);104398;1756;106154
1100320;São Miguel do Guaporé (RO);34685;7085;41770
1100338;Nova Mamoré (RO);814;515;1329
1100346;Alvorada D'Oeste (RO);2717;2939;5656
1100379;Alto Alegre dos Parecis (RO);8713;10353;19066
1100403;Alto Paraíso (RO);19535;2573;22108
1100452;Buritis (RO);827;2412;3239
1100502;Novo Horizonte do Oeste (RO);4768;2777;7545
1100601;Cacaulândia (RO);165;523;688
1100700;Campo Novo de Rondônia (RO);473;933;1406
1100809;Candeias do Jamari (RO);19565;433;19998
1100908;Castanheiras (RO);5297;360;5657
1100924;Chupinguaia (RO);56710;210;56920
1100940;Cujubim (RO);25141;1184;26325
1101005;Governador Jorge Teixeira (RO);230;524;754
1101104;Itapuã do Oeste (RO);1298;316;1614
1101203;Ministro Andreazza (RO);79;3535;3614
1101302;Mirante da Serra (RO);322;1360;1682
1101401;Monte Negro (RO);307;497;804
1101435;Nova União (RO);395;719;1114
1101450;Parecis (RO);79;X;79
1101468;Pimenteiras do Oeste (RO);65723;94;65817
1101476;Primavera de Rondônia (RO);798;326;1124
1101484;São Felipe D'Oeste (RO);2394;1175;3569
1101492;São Francisco do Guaporé (RO);6597;1008;7605
1101500;Seringueiras (RO);X;2833;2833
1101559;Teixeirópolis (RO);157;80;237
1101609;Theobroma (RO);1129;588;1717
1101708;Urupá (RO);173;526;699
1101757;Vale do Anari (RO);860;908;1768
1101807;Vale do Paraíso (RO);123;141;264
1200013;Acrelândia (AC);1434;3360;4794
1200054;Assis Brasil (AC);392;95;487
1200104;Brasiléia (AC);3298;630;3928
1200138;Bujari (AC);2669;488;3157
1200179;Capixaba (AC);9456;634;10090
1200203;Cruzeiro do Sul (AC);7715;844;8559
1200252;Epitaciolândia (AC);2506;406;2912
1200302;Feijó (AC);7980;1117;9097
1200328;Jordão (AC);973;25;998
1200336;Mâncio Lima (AC);2417;46;2463
1200344;Manoel Urbano (AC);1284;900;2184
1200351;Marechal Thaumaturgo (AC);2575;43;2618
1200385;Plácido de Castro (AC);2504;735;3239
1200393;Porto Walter (AC);1711;30;1741
1200401;Rio Branco (AC);7929;1676;9605
1200427;Rodrigues Alves (AC);3375;21;3396
1200435;Santa Rosa do Purus (AC);332;118;450
1200450;Senador Guiomard (AC);4081;1159;5240
1200500;Sena Madureira (AC);3786;266;4052
1200609;Tarauacá (AC);9485;1412;10897
1200708;Xapuri (AC);2102;150;2252
1200807;Porto Acre (AC);2239;1118;3357
