Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
1100015;Alta Floresta D'Oeste (RO);7401;32154;39555
1100023;Ariquemes (RO);14909;5590;20499
1100031;Cabixi (RO);93565;1965;95530
1100049;Cacoal (RO);7345;26154;33499
1100056;Cerejeiras (RO);131312;972;132284
1100064;Colorado do Oeste (RO);5988;1075;7063
1100072;Corumbiara (RO);172107;1026;173133
1100080;Costa Marques (RO);3408;2337;5745
1100098;Espigão D'Oeste (RO);8138;2636;10774
1100106;Guajará-Mirim (RO);3957;766;4723
1100114;Jaru (RO);1534;4075;5609
1100122;Ji-Paraná (RO);2285;2202;4487
1100130;Machadinho D'Oeste (RO);19515;8279;27794
1100148;Nova Brasilândia D'Oeste (RO);2929;39410;42339
1100155;Ouro Preto do Oeste (RO);1370;3721;5091
1100189;Pimenta Bueno (RO);718;770;1488
1100205;Porto Velho (RO);26056;15857;41913
1100254;Presidente Médici (RO);3172;4174;7346
1100262;Rio Crespo (RO);23929;1764;25693
1100288;Rolim de Moura (RO);11129;9498;20627
1100296;Santa Luzia D'Oeste (RO);15255;3268;18523
1100304;Vilhena (RO);157675;2052;159727
1100320;São Miguel do Guaporé (RO);50310;20668;70978
1100338;Nova Mamoré (RO);1578;1628;3206
1100346;Alvorada D'Oeste (RO);6900;7579;14479
1100379;Alto Alegre dos Parecis (RO);16284;29725;46009
1100403;Alto Paraíso (RO);25324;7510;32834
1100452;Buritis (RO);1650;6724;8374
1100502;Novo Horizonte do Oeste (RO);9807;6839;16646
1100601;Cacaulândia (RO);909;2010;2919
1100700;Campo Novo de Rondônia (RO);857;2475;3332
1100809;Candeias do Jamari (RO);22400;564;22964
1100908;Castanheiras (RO);7610;1088;8698
1100924;Chupinguaia (RO);71845;334;72179
1100940;Cujubim (RO);28425;3216;31641
1101005;Governador Jorge Teixeira (RO);586;2671;3257
1101104;Itapuã do Oeste (RO);12676;662;13338
1101203;Ministro Andreazza (RO);257;11589;11846
1101302;Mirante da Serra (RO);881;4506;5387
1101401;Monte Negro (RO);636;1571;2207
1101435;Nova União (RO);1008;2091;3099
1101450;Parecis (RO);310;X;310
